
2022/01/11 (13:55:30) | ===> btop++ v.1.1.4
2022/01/18 (13:18:00) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:01) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:07) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:18:07) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:07) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:08) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:18:09) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:09) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:10) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:18:11) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:11) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:12) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:18:13) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:13) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:14) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:18:15) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:15) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:16) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:18:16) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:17) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:18) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:19) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:18:20) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:18:20) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd

2022/01/18 (13:30:42) | ===> btop++ v.1.2.0
2022/01/18 (13:30:42) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:30:46) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:30:47) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:30:53) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:30:54) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:30:54) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:30:55) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:30:55) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:30:56) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:30:57) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:30:57) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:30:57) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:30:59) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:30:59) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:31:00) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:31:01) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:31:01) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:31:02) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:31:03) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/18 (13:31:03) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:31:03) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:31:05) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:31:05) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:31:07) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/18 (13:31:07) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/18 (13:31:09) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd

2022/01/28 (01:48:18) | ===> btop++ v.1.2.0
2022/01/28 (01:48:18) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:22) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:23) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/28 (01:48:29) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:29) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:29) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/28 (01:48:30) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:30) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:31) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/28 (01:48:32) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:32) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:33) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/28 (01:48:34) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:35) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:35) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/28 (01:48:36) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:37) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:37) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
2022/01/28 (01:48:38) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_tv
2022/01/28 (01:48:38) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd_docs
2022/01/28 (01:48:39) | WARNING: Failed to get disk/partition stats with statvfs() for: /mnt/nfs/uhd
